Part,Value,Device,Manufacturer,Manufacturer Part Number
C1,GRM31CC80G227ME11L,GRM31CC80G227ME11L,Murata Electronics,GRM21BR60J107ME15L
R1,LEDRC0402N-L,LEDRC0402N-L,Kingbright ,APG1005VGC-T-5MAV
U$1,BGM220SC22HNA,BGM220SC22HNA,"Silicon Laboratories 
",BGM220SC22HNA
U$2,0U1_CAPACITOR,0U1_CAPACITOR,Murata Electronics,GRM033R60J104KE19D
U$3,0U1_CAPACITOR,0U1_CAPACITOR,Murata Electronics,GRM033R60J104KE19D
U$4,FPCHEADER,FPCHEADER,Do Not Populate,Do Not Populate
U$5,2450AT18A100,2450AT18A100,Johanson Technology Inc.,2450AT18A100E
U$6,REF3318,REF3318,Texas Instruments,REF3318AIDCKT
U$7,CR1025HOLDERCR1025_3,CR1025HOLDERCR1025_3,Keystone Electronics,3030
U$9,1U_CAPACITOR,1U_CAPACITOR,Samsung Electro-Mechanics,CL03A105KQ3CSNC
U$10,1U_CAPACITOR,1U_CAPACITOR,Samsung Electro-Mechanics,CL03A105KQ3CSNC
U$25,22OHMRESISTOR,22OHMRESISTOR,Yageo,RC0201FR-0722RL
U1,BMA456,BMA456,Bosch Sensortec,BMA456
