Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "biosense_bgm220-pcbcart-cc-bma-flex-05212021.brd" as of: 8/21/21 18:58
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.108,0.070,180
R1,Top,0.106,0.408,180
U$1,Top,0.266,0.372,270
U$2,Top,0.388,0.161,0
U$3,Top,0.406,0.289,180
U$4,Top,-0.531,0.110,90
U$5,Top,0.315,0.381,0
U$6,Top,0.335,0.057,90
U$7,Bottom,0.236,0.236,45
U$9,Top,0.228,0.037,90
U$10,Top,0.392,0.061,180
U$25,Top,0.158,0.408,0
U1,Top,0.388,0.230,90
